# Alpine Lakes "Home Court" Top 100 — ordered highest to lowest.
# Source: peakbagger.com list 21307. Coordinates (WGS84 decimal degrees, 6 places)
# from each peak page; Bluebird resolves elevation itself from OpenStreetMap.
# Paste the rows below into the "Custom (CSV)" destination type. Format: Latitude, Longitude, Name
47.565031, -121.180891, 1. Mount Daniel
47.507122, -121.290115, 2. Chimney Rock
47.494045, -121.300945, 3. Lemah Mountain
47.568595, -121.214785, 4. Mount Hinman
47.523643, -121.268457, 5. Summit Chief Mountain
47.513995, -121.292445, 6. Overcoat Peak
47.582921, -121.182787, 7. Dip Top Peak
47.583772, -121.172279, 8. Lynch Peak
47.529735, -121.256765, 9. Little Big Chief Mountain
47.540075, -121.225315, 10. Bears Breast Mountain
47.544505, -121.168685, 11. The Citadel
47.475535, -121.311105, 12. Chikamin Peak
47.555165, -121.135565, 13. Cathedral Rock
47.446355, -121.270305, 14. Three Queens
47.534975, -121.365745, 15. Big Snow Mountain
47.468647, -121.063464, 16. Goat Mountain
47.548923, -121.188839, 17. Ares Peak
47.562486, -121.249868, 18. La Bohn Peak
47.472245, -121.360605, 19. Mount Thomson
47.431772, -121.300756, 20. Hibox Mountain
47.453325, -121.084228, 21. Davis Peak North
47.500910, -121.327621, 22. Burnt Boot Peak
47.621749, -121.197460, 23. Terrace Mountain
47.576998, -121.271589, 24. Otter Point
47.553835, -121.285545, 25. Iron Cap Mountain
47.474255, -121.334225, 26. Huckleberry Mountain
47.552225, -121.334445, 27. Wild Goat Peak
47.458779, -121.414331, 28. Snoqualmie Mountain East
47.571145, -121.331985, 29. Camp Robber Peak
47.441005, -121.331945, 30. Alta Mountain
47.623793, -121.341115, 31. Malachite Peak
47.462465, -121.478195, 32. Kaleetan Peak
47.616867, -121.271630, 33. Bald Eagle Peak
47.607947, -121.291160, 34. Silver Eagle Peak
47.624411, -121.225608, 35. Shroud Mountain
47.459786, -121.466860, 36. Chair Peak
47.424630, -121.283330, 37. Lobox Mountain
47.774165, -121.579925, 38. Mount Index
47.614329, -121.350959, 39. Turquoise Peak
47.498693, -121.519299, 40. Preacher Mountain
47.397305, -121.144765, 41. Red Mountain
47.456135, -121.389105, 42. Red Mountain
47.667841, -121.473058, 43. Lennox Mountain
47.481121, -121.503992, 44. Caroline Peak
47.411365, -121.344785, 45. Rampart Ridge
47.370827, -121.208560, 46. Thorp Mountain
47.350379, -121.202394, 47. Hard Knox
47.563790, -121.470295, 48. Treen Peak
47.463695, -121.345915, 49. Alaska Mountain
47.637285, -121.475565, 50. Kayak Peak
47.320605, -121.181605, 51. French Cabin Mountain
47.417645, -121.481395, 52. Granite Mountain
47.383275, -121.339325, 53. Mount Margaret
47.660227, -121.198564, 54. Tonga Ridge
47.503824, -121.408816, 55. Mount Price
47.615051, -121.548517, 56. Goat Mountain
47.610018, -121.427771, 57. Cascade Mountain
47.455304, -121.173091, 58. Polallie Ridge
47.716792, -121.516394, 59. Mount Rudderham
47.435274, -121.564470, 60. Mount Defiance
47.629635, -121.417350, 61. Cascade Mountain - North Peak
47.574282, -121.298716, 62. Saint Agnes Ridge
47.688360, -121.565351, 63. Mount Phelps
47.328380, -121.206700, 64. Kachess Ridge
47.779685, -121.581745, 65. Mount Index - Middle Peak
47.719455, -121.493644, 66. Crosby Mountain
47.552695, -121.493635, 67. Mount Garfield
47.667024, -121.224273, 68. Mount Sawyer
47.552132, -121.485096, 69. Mount Garfield East
47.790425, -121.611815, 70. Mount Persis
47.472131, -121.585386, 71. Revolution Peak
47.613355, -121.421445, 72. Cascade Mountain - Middle Peak
47.717649, -121.548048, 73. Red Mountain West
47.435094, -121.468920, 74. Low Mountain
47.603566, -121.460573, 75. Morpheus
47.607529, -121.501180, 76. Dog Mountain
47.469394, -121.430480, 77. Avalanche Mountain
47.577082, -121.312238, 78. Atrium Peak
47.588866, -121.540799, 79. The Ark
47.612706, -121.603583, 80. Twin Peaks
47.496007, -121.481759, 81. Wild Dare Peak
47.589528, -121.424067, 82. Mile High
47.680898, -121.424540, 83. Cleveland Mountain
47.538201, -121.434346, 84. Galleon Mountain
47.535271, -121.410365, 85. Sorcery Mountain
47.291795, -121.156305, 86. Thomas Mountain
47.415615, -121.538225, 87. Bandera Mountain
47.547211, -121.449943, 88. Floating Rock
47.597449, -121.613766, 89. Boomerang
47.342948, -121.300098, 90. Keechelus Ridge
47.442945, -121.409145, 91. Guye Peak
47.560345, -121.608315, 92. Bessemer Mountain
47.678495, -121.578852, 93. McClain Peak
47.383376, -121.301196, 94. Ugly Duckling
47.495616, -121.589353, 95. Russian Butte
47.556098, -121.390123, 96. Little Bulger
47.427065, -121.526835, 97. Pratt Mountain
47.744401, -121.559363, 98. Frozen Mountain
47.735825, -121.488275, 99. Palmer Mountain
47.586860, -121.604457, 100. Paperboy
