# The Bulger List — Washington's 100 highest peaks, ordered highest to lowest.
# Source: peakbagger.com list 5003. Coordinates (WGS84 decimal degrees, 6 places)
# from each peak page; Bluebird resolves elevation itself from OpenStreetMap.
# Paste the rows below into the "Custom (CSV)" destination type. Format: Latitude, Longitude, Name
46.851731, -121.760395, 1. Mount Rainier
46.202494, -121.490746, 2. Mount Adams
46.849683, -121.711774, 3. Little Tahoma
48.776797, -121.814467, 4. Mount Baker
48.111844, -121.114120, 5. Glacier Peak
48.238217, -120.866415, 6. Bonanza Peak
47.475139, -120.902372, 7. Mount Stuart
48.162470, -120.807521, 8. Mount Fernow
48.483086, -120.911491, 9. Goode Mountain
48.831095, -121.602955, 10. Mount Shuksan
48.494301, -120.999868, 11. Mount Buckner
48.536727, -120.952560, 12. Mount Logan
48.137695, -120.803666, 13. Mount Maude
48.150595, -120.814325, 14. Seven Fingered Jack
48.772840, -120.956370, 15. Jack Mountain
48.523611, -120.816193, 16. Black Peak
48.969666, -121.240464, 17. Mount Spickard
48.175065, -120.803677, 18. Copper Peak
48.515229, -120.501667, 19. North Gardner Mountain
48.957820, -121.300744, 20. Mount Redoubt
48.303663, -121.029117, 21. Dome Peak
48.507000, -120.488130, 22. Gardner Mountain
48.547945, -120.585127, 23. Silver Star Mountain
48.495692, -121.035951, 24. Boston Peak
48.537596, -121.134277, 25. Eldorado Peak
48.511643, -121.058324, 26. Forbidden Peak
47.478944, -120.833163, 27. Dragontail Peak
48.578630, -120.880304, 28. Mesahchie Peak
48.287176, -120.425141, 29. Oval Peak
48.491055, -121.038495, 30. Sahale Peak
48.829320, -120.537451, 31. Mount Lago
48.726768, -120.575086, 32. Robinson Mountain
47.478348, -120.846468, 33. Colchuck Peak
48.250748, -120.428514, 34. Star Peak
48.923342, -120.196887, 35. Remmel Mountain
48.159764, -120.933182, 36. Fortress Mountain
48.578509, -120.888781, 37. Katsuk Peak
47.502715, -120.802425, 38. Cannon Mountain
48.988938, -121.249776, 39. Mount Custer
48.585121, -120.910853, 40. Kimtah Peak
47.471851, -120.888882, 41. Sherpa Peak
48.866313, -120.532550, 42. Ptarmigan Peak
48.794296, -120.542267, 43. Monument Peak
48.831994, -120.554332, 44. Mount Carru
48.989089, -120.188890, 45. Cathedral Peak
48.237898, -120.331964, 46. Raven Ridge
48.101899, -120.613308, 47. Cardinal Peak
48.050005, -120.968577, 48. Clark Mountain
48.830934, -120.576645, 49. Osceola Peak
48.491515, -120.922718, 50. Storm King
47.489186, -120.802770, 51. Enchantment Peak
48.092115, -120.911585, 52. Buck Mountain
47.558737, -120.847262, 53. Cashmere Mountain
48.254762, -120.881823, 54. Dark Peak
48.372291, -120.562985, 55. Reynolds Peak
48.241679, -120.815844, 56. Martin Peak
48.947089, -121.256998, 57. Mox Peaks
48.554512, -121.104563, 58. Klawatti Peak
48.582069, -121.091994, 59. Primus Peak
48.494064, -121.008092, 60. Horseshoe Peak
48.997561, -121.230859, 61. Mount Rahm - West Peak
47.467955, -120.814519, 62. Little Annapurna
48.763027, -120.327979, 63. Big Craggy Peak
48.251795, -120.342975, 64. Hoodoo Peak
48.218615, -120.353895, 65. Mount Bigelow
48.812870, -120.458255, 66. Lost Peak
48.549794, -121.138595, 67. Dorado Needle
47.470231, -120.861456, 68. Argonaut Peak
48.163424, -120.907616, 69. Chiwawa Mountain
48.060669, -120.984974, 70. Luahna Peak
48.588470, -120.704216, 71. Tower Mountain
48.656621, -120.751891, 72. Azurite Peak
48.299967, -121.009696, 73. Sinister Peak
48.603680, -120.732189, 74. Golden Horn
48.115151, -120.628968, 75. Emerald Peak
48.180099, -120.858670, 76. Dumbell Mountain
48.185376, -120.850790, 77. Greenwood Mountain
48.803704, -120.542934, 78. Blackcap Mountain
48.112242, -120.642460, 79. Saska Peak
48.132174, -120.670100, 80. Pinnacle Mountain
48.126634, -120.759946, 81. Spectacle Buttes
48.948747, -121.262656, 82. Mox Peaks - Northwest Peak
48.260727, -120.443695, 83. Courtney Peak
48.276774, -120.765300, 84. Devore Peak
48.534263, -120.588409, 85. Big Snagtooth
48.188568, -120.351013, 86. Martin Peak
48.781856, -120.511765, 87. Lake Mountain
48.975660, -120.192342, 88. Amphitheater Mountain
48.762425, -120.346174, 89. West Craggy
48.568588, -121.101423, 90. Austera Peak
47.470169, -120.785833, 91. McClellan Peak
48.416278, -121.066957, 92. Mount Formidable
48.635339, -121.138799, 93. Snowfield Peak
48.297010, -120.750681, 94. Tupshin Peak
48.928205, -119.970556, 95. Windy Peak
48.588914, -120.927825, 96. Cosho Peak
48.477679, -120.524573, 97. Abernathy Peak
48.243089, -120.695664, 98. Flora Mountain
46.191444, -122.195816, 99. Mount Saint Helens
48.175612, -120.358225, 100. Switchback Mountain
